script,wake_model,seed,method,turbine_id,x,y,AEP SS bins [GWh],AEP GB bins [GWh],runtime_sec,ss_bin_setup,gb_bin_setup,random_pct
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,46,427184.0,6148112.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,47,427252.0,6147556.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,48,427334.0,6151447.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,49,427402.0,6150891.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,50,427471.0,6150335.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,51,427539.0,6149779.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,52,427607.0,6149224.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,53,427675.0,6148668.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,54,427744.0,6148112.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,55,427812.0,6147556.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,56,427894.0,6151447.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,57,427962.0,6150891.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,58,428031.0,6150335.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,59,428099.0,6149779.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,60,428167.0,6149224.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,61,428235.0,6148668.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
