batch,summary_file,script,source_script,source_method,layout_method,source_opt_bin_label,wake_model,seed,method,run_type,aep_gwh,gain_gwh,runtime_min,iterations,gb_bin_setup,ss_bin_setup
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS--2S,RS--2S,5 deg bins,NOJ,2,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,
02_BestSS2S_GB_FullBins,best_ss2s_gb_fullbins_summary_20260523_043420.csv,RunBestSS2S_GB_FullBins,ResultsSS,,,5 deg bins,NOJ,3,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS,SmartStart,5 deg bins,NOJ,3,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS--2S,SS--2S,5 deg bins,NOJ,3,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS,RS,5 deg bins,NOJ,3,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS--2S,RS--2S,5 deg bins,NOJ,3,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS,SmartStart,5 deg bins,NOJ,4,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS--2S,SS--2S,5 deg bins,NOJ,4,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS,RS,5 deg bins,NOJ,4,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS--2S,RS--2S,5 deg bins,NOJ,4,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS,SmartStart,5 deg bins,NOJ,5,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS--2S,SS--2S,5 deg bins,NOJ,5,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS,RS,5 deg bins,NOJ,5,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS--2S,RS--2S,5 deg bins,NOJ,5,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS,RS,5 deg bins,NOJ,1,RS,baseline,715.1495892124769,0.0,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS,RS,5 deg bins,NOJ,2,RS,baseline,714.8628386376877,0.0,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS,RS,5 deg bins,NOJ,3,RS,baseline,715.2148260994957,0.0,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS,RS,5 deg bins,NOJ,4,RS,baseline,715.3067586685179,0.0,0.0,0,wd1deg_ws3-25_step1,
