script,source_script,source_opt_bin_label,source_method,layout_method,wake_model,seed,source_highres_AEP [GWh],gb_bin_setup,run_name,iteration,phase,AEP [GWh],elapsed_sec,aep_bin_source
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,41,Gradient,713.9579713869485,1171.8581931959725,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,42,Gradient,713.9730879469153,1200.440100347094,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,43,Gradient,714.0108954424919,1229.022007498215,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,44,Gradient,714.1412199601705,1257.6039146493365,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,45,Gradient,714.4510419360151,1286.1858218004577,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,46,Gradient,714.4588837233052,1314.7677289515789,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,47,Gradient,714.462775719487,1343.3496361027003,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,48,Gradient,714.4633593032174,1371.9315432538215,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,49,Gradient,714.463435806762,1400.513450404943,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,50,Gradient,714.4634401894498,1429.095357556064,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,51,Gradient,714.4633928534313,1457.6772647071855,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,52,Gradient,714.4634468828249,1486.2591718583067,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,53,Gradient,714.4634528288732,1514.8410790094279,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,54,Gradient,714.4635076009317,1543.4229861605493,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,55,Gradient,714.463795328727,1572.0048933116705,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,56,Gradient,714.4652344511093,1600.5868004627919,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,57,Gradient,714.4726384121919,1629.168707613913,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,58,Gradient,714.5079728772619,1657.7506147650342,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,59,Gradient,714.5852575882521,1686.3325219161557,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,60,Gradient,714.6077196064568,1714.9144290672768,GB bins
