script,wake_model,seed,method,turbine_id,x,y,AEP [GWh],Surrogate AEP [GWh],runtime_sec,wd_step_deg,n_wd,ws,random_pct
ResultsSS,NOJ,1,Current Horns Rev,79,429492.0,6147556.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,0,429226.94736842107,6147402.894736842,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,1,423574.0,6150612.52631579,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,2,423574.0,6147402.894736842,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,3,428561.8947368421,6151106.315789473,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,4,426899.2631578947,6147649.7894736845,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,5,425901.6842105263,6149871.842105263,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,6,423574.0,6149624.947368421,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,7,425569.15789473685,6147156.0,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,8,428561.8947368421,6149871.842105263,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,9,429892.0,6148637.368421053,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,10,424571.5789473684,6151600.105263158,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,11,424239.05263157893,6148637.368421053,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,12,429892.0,6150612.52631579,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,13,423574.0,6151847.0,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,14,427564.3157894737,6151353.2105263155,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,15,428894.4210526316,6148637.368421053,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,16,427231.7894736842,6149378.052631579,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,17,427896.84210526315,6147402.894736842,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
