seed,spacing_D,iteration,AEP [GWh]
2,5,27,25.895593034484918
2,5,28,26.8142346767859
2,5,29,27.73955570371045
2,5,30,28.669357406968434
2,5,31,29.591997606112862
2,5,32,30.509385510427812
2,5,33,31.436136079127674
2,5,34,32.35327974179708
2,5,35,33.25813130346073
2,5,36,34.17018337414625
2,5,37,35.082854038924566
2,5,38,35.99449303333613
2,5,39,36.88672081861209
2,5,40,37.78814464154644
2,5,41,38.695187894867246
2,5,42,39.631900941339424
2,5,43,40.52992936257977
2,5,44,41.42455176378418
2,5,45,42.32247861192909
2,5,46,43.215881621286655
2,5,47,44.10243540618055
2,5,48,44.99026396275518
2,5,49,45.864818016772176
2,5,50,46.756068699322995
2,5,51,47.6256824046053
2,5,52,48.515196703968634
2,5,53,49.3890773337864
2,5,54,50.25961386081428
2,5,55,51.14145173166612
2,5,56,52.010640891605384
2,5,57,52.87460148929327
2,5,58,53.7481169331787
2,5,59,54.61834770860993
2,5,60,55.47565432740477
2,5,61,56.34278430999445
2,5,62,57.173458873415726
2,5,63,58.03800153017595
2,5,64,58.884583911727816
2,5,65,59.75072881978687
2,5,66,60.60180737917839
2,5,67,61.4579656646879
2,5,68,62.31316583847402
2,5,69,63.16169422248974
2,5,70,64.00092172119227
2,5,71,64.83080721073125
2,5,72,65.66243781909594
2,5,73,66.50207850807749
2,5,74,67.32106972228544
2,5,75,68.15603147617543
2,5,76,68.9940335511702
2,5,77,69.81426328744882
2,5,78,70.65929314485572
2,5,79,71.47849245034838
2,5,80,72.34584464782873
3,3,1,0.9852548472611584
3,3,2,1.9700177506832275
3,3,3,2.9543175119058307
3,3,4,3.93712083366951
3,3,5,4.917365972385507
3,3,6,5.8946932102703755
3,3,7,6.873730171367699
3,3,8,7.8502673721466945
3,3,9,8.820131437071247
3,3,10,9.793737457176057
3,3,11,10.762578267813963
3,3,12,11.71493912603449
3,3,13,12.677114728020978
3,3,14,13.639833308520995
3,3,15,14.590554274894021
3,3,16,15.541001228128856
3,3,17,16.492271807373722
3,3,18,17.43812821315492
3,3,19,18.385506292641654
3,3,20,19.331736286332358
3,3,21,20.274607935413137
3,3,22,21.212876277407062
3,3,23,22.156796208126902
3,3,24,23.10068449755325
3,3,25,24.053572122806827
3,3,26,24.997232273330482
3,3,27,25.935465881182793
3,3,28,26.85664065367833
3,3,29,27.791811031535897
3,3,30,28.71327625636775
3,3,31,29.61812729299251
3,3,32,30.530002300217184
3,3,33,31.44901484751915
3,3,34,32.36829799277993
3,3,35,33.27660331288847
3,3,36,34.19275887129798
3,3,37,35.07049017209328
3,3,38,35.989063840205816
3,3,39,36.89879984160227
3,3,40,37.81394520328135
3,3,41,38.687133941722976
3,3,42,39.5755932775589
3,3,43,40.46796036376804
3,3,44,41.3866116971967
3,3,45,42.26999444019464
3,3,46,43.14779553986543
3,3,47,44.033791740839554
3,3,48,44.940250851629635
3,3,49,45.801158994738614
3,3,50,46.69071314222688
3,3,51,47.55759336801441
3,3,52,48.4796209304702
3,3,53,49.35860138919717
3,3,54,50.22617789263879
3,3,55,51.09583182023337
3,3,56,51.97991531810176
3,3,57,52.86578210518207
3,3,58,53.732206702063294
3,3,59,54.57155453713553
3,3,60,55.433145007206846
3,3,61,56.28840379995545
3,3,62,57.13330687256317
3,3,63,57.98577752074712
3,3,64,58.84109323885892
3,3,65,59.67973242505193
3,3,66,60.53385046054512
3,3,67,61.38538829833079
3,3,68,62.22183854972709
3,3,69,63.06883263638609
3,3,70,63.889656983433966
3,3,71,64.74689604517066
3,3,72,65.58062353178417
3,3,73,66.39127715690769
3,3,74,67.24155538801591
3,3,75,68.08531431122667
3,3,76,68.92768708897309
3,3,77,69.75461094172107
3,3,78,70.5921802096866
3,3,79,71.41601676206093
3,3,80,72.2047620985852
3,4,1,0.9852548472611584
3,4,2,1.9700177506832275
3,4,3,2.9541780993981113
3,4,4,3.93718403839975
3,4,5,4.917308780177743
3,4,6,5.896365309172612
3,4,7,6.871830651361348
3,4,8,7.845670512696477
3,4,9,8.818985223217403
3,4,10,9.790645454345615
3,4,11,10.760807701848528
3,4,12,11.727397757730518
3,4,13,12.68256555703864
3,4,14,13.630192421392284
3,4,15,14.594619762861607
3,4,16,15.536692018896163
3,4,17,16.48915474981328
3,4,18,17.43704567797603
3,4,19,18.381072439643027
3,4,20,19.31682582037895
3,4,21,20.250286172423387
3,4,22,21.20248322609155
3,4,23,22.13825405238328
3,4,24,23.087346161804984
3,4,25,24.028284470375166
3,4,26,24.9643639960792
3,4,27,25.893001888635176
3,4,28,26.82799418413957
3,4,29,27.763375053026273
3,4,30,28.689006096457017
3,4,31,29.612241543798778
3,4,32,30.53251303520399
3,4,33,31.44856145775057
3,4,34,32.36497861152186
3,4,35,33.2779424170183
3,4,36,34.193025518061475
3,4,37,35.09111274552343
3,4,38,35.970996427427394
3,4,39,36.86831603004073
3,4,40,37.76493852892264
3,4,41,38.670539169114235
3,4,42,39.56966252903252
3,4,43,40.458484670014485
3,4,44,41.360701818841456
3,4,45,42.24123270422349
3,4,46,43.13867908657832
3,4,47,44.02910562875488
3,4,48,44.91013508262159
3,4,49,45.81214450103717
3,4,50,46.68199978067372
3,4,51,47.55474259653293
3,4,52,48.45002595149625
3,4,53,49.320397850556006
3,4,54,50.1945213354863
3,4,55,51.030194527131094
3,4,56,51.89389321082494
3,4,57,52.77063241910075
3,4,58,53.64783584109799
3,4,59,54.53372470750564
3,4,60,55.39626676569544
3,4,61,56.25779148422671
3,4,62,57.10921063570574
3,4,63,57.98761809486017
3,4,64,58.840862706370956
3,4,65,59.68600648894205
3,4,66,60.522663850369966
3,4,67,61.37624951406626
3,4,68,62.220909352880206
3,4,69,63.05604931451448
3,4,70,63.908089523117845
