script,wake_model,seed,method,AEP [GWh],Surrogate AEP [GWh],Improvement over Horns Rev [GWh],runtime_sec,iterations,wd_step_deg,n_wd,ws,source_file,opt_bin_label,random_step_schedule_D,plot_AEP [GWh],Optimization AEP [GWh],Fine AEP [GWh],eval_wd_step_deg,eval_n_wd,eval_ws_step,eval_ws_min,eval_ws_max,Fine minus Optimization AEP [GWh]
ResultsSS,NOJ,3,Current Horns Rev,701.8653557500002,70.47447376426608,0.0,0.0,0,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,701.8653557500002,701.8653557500002,701.8653557500002,1,360,1,3,25,0.0
ResultsSS,NOJ,3,SS,712.3267720782877,72.17155513263042,10.461416328287555,162.6590293999761,0,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,712.3267720782876,72.17155513263042,712.3267720782876,1,360,1,3,25,640.1552169456572
ResultsSS,NOJ,3,SS--2S,714.6185206954664,73.06898584448177,12.75316494546621,24023.97422059998,640,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,714.6185206954667,73.06898584448177,714.6185206954667,1,360,1,3,25,641.549534850985
ResultsSS,NOJ,3,SS--2S--GB,714.6185206954664,73.06898584448177,12.75316494546621,24030.440413500062,2640,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,714.6185206954667,73.06898584448177,714.6185206954667,1,360,1,3,25,641.549534850985
ResultsSS,NOJ,3,SS--GB,713.0367827778102,72.65585187767911,11.171427027810068,509.8193222000264,2000,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,713.0367827778098,72.17155513263042,713.0367827778098,1,360,1,3,25,640.8652276451794
ResultsSS,NOJ,4,Current Horns Rev,701.8653557500002,70.47447376426608,0.0,0.0,0,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,701.8653557500002,701.8653557500002,701.8653557500002,1,360,1,3,25,0.0
ResultsSS,NOJ,4,SS,712.0367289169942,72.17276613115314,10.171373166994044,160.1858016999904,0,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,712.036728916994,72.17276613115314,712.036728916994,1,360,1,3,25,639.8639627858408
ResultsSS,NOJ,4,SS--2S,714.5976565729309,73.1312657380584,12.73230082293071,10725.734103900031,400,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,714.5976565729311,73.1312657380584,714.5976565729311,1,360,1,3,25,641.4663908348728
ResultsSS,NOJ,4,SS--2S--GB,714.5976565729309,73.1312657380584,12.73230082293071,10731.876609500032,2400,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,714.5976565729311,73.1312657380584,714.5976565729311,1,360,1,3,25,641.4663908348728
ResultsSS,NOJ,4,SS--GB,713.0315135646902,72.72449668815014,11.166157814689996,917.5357427001,2000,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,713.0315135646902,72.17276613115314,713.0315135646902,1,360,1,3,25,640.858747433537
ResultsSS,NOJ,5,Current Horns Rev,701.8653557500002,70.47447376426608,0.0,0.0,0,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,701.8653557500002,701.8653557500002,701.8653557500002,1,360,1,3,25,0.0
ResultsSS,NOJ,5,SS,712.3272656645684,72.20340380272847,10.461909914568196,170.06707500002813,0,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,712.3272656645681,72.20340380272847,712.3272656645681,1,360,1,3,25,640.1238618618397
ResultsSS,NOJ,5,SS--2S,714.4457711262265,73.092243818389,12.58041537622637,28108.878039100087,800,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,714.4457711262271,73.092243818389,714.4457711262271,1,360,1,3,25,641.3535273078381
ResultsSS,NOJ,5,SS--2S--GB,714.4457711262265,73.092243818389,12.58041537622637,28113.731138900155,2800,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,714.4457711262271,73.092243818389,714.4457711262271,1,360,1,3,25,641.3535273078381
ResultsSS,NOJ,5,SS--GB,712.9413405591279,72.73225355571242,11.075984809127704,642.8654554999666,2000,10,36,9.6,results_ss_summary_wd10deg_combined.csv,10 deg bins,,712.9413405591282,72.20340380272847,712.9413405591282,1,360,1,3,25,640.7379367563997
ResultsSS,NOJ,1,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0,5,72,9.6,results_ss_summary_wd5deg_20260519_113744.csv,5 deg bins,,701.8653557500002,701.8653557500002,701.8653557500002,1,360,1,3,25,0.0
ResultsSS,NOJ,1,SS,712.5999260931526,72.12193614866618,10.734570343152429,88.3128779999679,0,5,72,9.6,results_ss_summary_wd5deg_20260519_113744.csv,5 deg bins,,712.5999260931527,72.12193614866618,712.5999260931527,1,360,1,3,25,640.4779899444866
ResultsSS,NOJ,1,SS--2S,714.8891257167484,72.6325632798648,13.023769966748205,17591.680265099974,560,5,72,9.6,results_ss_summary_wd5deg_20260519_113744.csv,5 deg bins,,714.8891257167484,72.6325632798648,714.8891257167484,1,360,1,3,25,642.2565624368835
ResultsSS,NOJ,1,SS--GB,712.5999260931526,72.12193614866618,10.734570343152429,97.25687509996352,2000,5,72,9.6,results_ss_summary_wd5deg_20260519_113744.csv,5 deg bins,,712.5999260931527,72.12193614866618,712.5999260931527,1,360,1,3,25,640.4779899444866
