wake_model,seed,gradient_iterations,method,AEP [GWh],Improvement over Horns Rev [GWh],Improvement over SmartStart [GWh],runtime_sec,recorded_gradient_iterations,smartstart_seed,smartstart_random_pct,row_type,run_name,script,gradient_iterations_setting,iteration,phase,elapsed_sec,timing_source
NOJ,1,,,72.43778297343553,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,15.0,Gradient,22.278609326104228,interpolated_from_total_runtime
NOJ,1,,,72.43778175886735,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,16.0,Gradient,23.76384994784451,interpolated_from_total_runtime
NOJ,1,,,72.43778431018347,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,17.0,Gradient,25.24909056958479,interpolated_from_total_runtime
NOJ,1,,,72.43779012334295,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,18.0,Gradient,26.734331191325072,interpolated_from_total_runtime
NOJ,1,,,72.43782272090701,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,19.0,Gradient,28.219571813065354,interpolated_from_total_runtime
NOJ,1,,,72.43798796945254,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,20.0,Gradient,29.704812434805635,interpolated_from_total_runtime
NOJ,1,,,72.43881496113116,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,21.0,Gradient,31.190053056545917,interpolated_from_total_runtime
NOJ,1,,,72.44090631457028,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,22.0,Gradient,32.6752936782862,interpolated_from_total_runtime
NOJ,1,,,72.44336818378643,,,,,1,10,history,gradient_iterations_20_seed1,RunSS_Gradient_Iterations,20.0,23.0,Gradient,34.160534300026484,interpolated_from_total_runtime
NOJ,1,,,72.27765953724,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,0.0,Gradient,0.0,interpolated_from_total_runtime
NOJ,1,,,72.27765953724,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,1.0,Gradient,1.4778289811318863,interpolated_from_total_runtime
NOJ,1,,,72.27765953724,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,2.0,Gradient,2.9556579622637726,interpolated_from_total_runtime
NOJ,1,,,72.27766088101683,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,3.0,Gradient,4.433486943395659,interpolated_from_total_runtime
NOJ,1,,,72.27766759994928,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,4.0,Gradient,5.911315924527545,interpolated_from_total_runtime
NOJ,1,,,72.27770119568973,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,5.0,Gradient,7.389144905659432,interpolated_from_total_runtime
NOJ,1,,,72.27786920120982,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,6.0,Gradient,8.866973886791317,interpolated_from_total_runtime
NOJ,1,,,72.27870986326505,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,7.0,Gradient,10.344802867923205,interpolated_from_total_runtime
